127.0.0.1 - - [25/Apr/2024:17:09:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/pixel%207.jpg HTTP/1.1" 200 39389
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/poco%20x5.jpg HTTP/1.1" 200 31558
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/poco%20x4.jpg HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/realme%2012%20pro.jpg HTTP/1.1" 200 10378
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/redmi%2013%20pro.jpg HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/realme%20narzo%2060.jpg HTTP/1.1" 200 7012
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/redmi%20note%2013.jpg HTTP/1.1" 200 4926
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/redmi%20a3.jpg HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/realme%20C17.jpg HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/redmi%2013c.jpg HTTP/1.1" 200 15032
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/oneplus%20ce%203.jpg HTTP/1.1" 200 26256
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/poco%20c65.jpg HTTP/1.1" 200 31457
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/oneplus%2012.jpg HTTP/1.1" 200 31861
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/onplus%2011.jpg HTTP/1.1" 200 25923
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s%20a34.jpg HTTP/1.1" 200 14074
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s%20a55.jpg HTTP/1.1" 200 25192
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/infinix%20note%2030.jpg HTTP/1.1" 200 13621
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/poco%20m6.jpg HTTP/1.1" 200 18382
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20y27.jpg HTTP/1.1" 200 18983
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/poco%20m4.jpg HTTP/1.1" 200 31171
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/redmi%20a2.jpg HTTP/1.1" 200 8218
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/infinix%20hot%2040.jpg HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:50 +0530] "GET /OnlineMobileShoppingSystem/product.jsp?productId=1 HTTP/1.1" 200 26125
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:50 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:50 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:14 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 15609
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:14 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:14 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:14 +0530] "GET /OnlineMobileShoppingSystem/css/login.css HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:38 +0530] "POST /OnlineMobileShoppingSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:38 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 15913
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:38 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:10:38 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "POST /OnlineMobileShoppingSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/order.png HTTP/1.1" 200 45342
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/brand.png HTTP/1.1" 200 42370
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 67162
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/brand1.png HTTP/1.1" 200 68014
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/users.png HTTP/1.1" 200 18294
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/addProduct.png HTTP/1.1" 200 44629
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/images/products.png HTTP/1.1" 200 27760
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/admin.png HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user2.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user4.png HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:11:05 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user3.png HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:27 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:27 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:27 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 67971
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:27 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:49 +0530] "GET /OnlineMobileShoppingSystem/ProductOperation?categoryId=13&action=deleteCategory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:49 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 77845
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:49 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:54 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:55 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 67162
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:12:55 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:05 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?filter=20000 HTTP/1.1" 200 44063
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:05 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:23 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=7 HTTP/1.1" 200 24446
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:23 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:51 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 77527
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:51 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:13:51 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:14:32 +0530] "GET /OnlineMobileShoppingSystem/product.jsp?productId=45 HTTP/1.1" 200 27386
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:14:32 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:08 +0530] "GET /OnlineMobileShoppingSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:08 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 15908
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:08 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:08 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:16 +0530] "POST /OnlineMobileShoppingSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:16 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 79995
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:16 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:16 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:16 +0530] "GET /OnlineMobileShoppingSystem/images/cart.png HTTP/1.1" 200 39343
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:37 +0530] "GET /OnlineMobileShoppingSystem/product.jsp?productId=2 HTTP/1.1" 200 31813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:37 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:44 +0530] "POST /OnlineMobileShoppingSystem/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:44 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 81881
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:44 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:44 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:15:57 +0530] "POST /OnlineMobileShoppingSystem/authorize_payment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:16 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:16 +0530] "GET /OnlineMobileShoppingSystem/review_payment?paymentId=PAYID-MYVEE5I2N344946E3135474B&token=EC-68F65116T5079950J&PayerID=QWKBQRKV99HRJ HTTP/1.1" 200 20450
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:43 +0530] "POST /OnlineMobileShoppingSystem/execute_payment HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:44 +0530] "POST /OnlineMobileShoppingSystem/execute_payment HTTP/1.1" 200 17393
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:44 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:49 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 80805
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:49 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:19:49 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20t2.jpg HTTP/1.1" 404 813
