127.0.0.1 - - [22/Mar/2024:10:24:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:31 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:27:31 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:30:30 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 20329
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:30:30 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:30:30 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:31:05 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 20278
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:31:05 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:31:05 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:36 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 20278
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:36 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:36 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:42 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16950
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:42 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:42 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:37:42 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:38:17 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16950
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:38:17 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:38:17 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:38:17 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:39:33 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19742
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:39:33 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:39:33 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:41:26 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:41:26 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:41:26 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:43:26 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:43:26 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:43:26 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:44:41 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19703
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:44:41 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:44:41 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:03 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19724
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:03 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:03 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:25 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:25 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:25 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:42 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:42 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:42 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:52 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:52 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:45:52 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:38 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:38 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:38 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:40 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:40 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:40 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:58 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19747
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:58 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:46:58 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:28 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19705
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:28 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:28 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:59 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:59 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:59 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:48:04 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 19725
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:48:04 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:48:04 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:29 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16952
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:29 +0530] "GET /OnlineMobileShoppingSystem/register.css HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:29 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:29 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:46 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16956
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:46 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:46 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:49:46 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:50:39 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16057
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:50:39 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:50:39 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:50:39 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:22 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16956
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:22 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:22 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:22 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:56 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:56 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:58:56 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:59:56 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16913
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:59:56 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:59:56 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:59:56 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:00:28 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16759
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:00:28 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:00:28 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:07 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16748
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:07 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:07 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:07 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:29 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16960
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:29 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:29 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:42 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16960
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:42 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:01:42 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:00 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16960
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:00 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:00 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:01 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16960
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:01 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:01 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:02 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16960
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:02 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:02:02 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:29 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16956
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:29 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:29 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:29 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:43 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:43 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:03:43 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:05:14 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:05:14 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:05:14 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:05:14 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:06 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16938
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:06 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:06 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:06 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:23 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16938
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:23 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:23 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:07:23 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:00 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16938
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:00 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:00 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:00 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:26 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:26 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:26 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:08:26 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:41 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:41 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:41 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:41 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:43 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:43 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:43 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:09:43 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:10:14 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:10:14 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:10:14 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:10:14 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:16 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:16 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:16 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:16 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:31 +0530] "GET /OnlineMobileShoppingSystem/register.jsp HTTP/1.1" 200 16937
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:31 +0530] "GET /OnlineMobileShoppingSystem/css/register.css HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:31 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:11:31 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
